text,labels
"Saad Hassar (Arabic: سعد حصار‎‎ – born 21 February 1953, Salé) is a Moroccan politician. Between 2007 and 2012, he was Secretary of State for the Interior in the cabinet of Abbas El Fassi, succeeding Fouad Ali El Himma. Saad Hassar studied at the Mission laïque française of Rabat (Lycée Descartes) and at the École Spéciale des Travaux Publics of Paris. He is a nephew of Abdelkrim al-Khatib, co-founder of the National Popular Movement which later became the Justice and Development Party, and cousin of Moroccan Gendarmerie General Hosni Benslimane.",OfficeHolder
"Squadron Leader Raynham George Hanna AFC (with bar) (28 August 1928 – 1 December 2005) was a New Zealand-born pilot in the Royal Air Force and later involved with several businesses. During his time in the RAF, he was a founding member of the Red Arrows. He also founded the Old Flying Machine Company and regularly flew aircraft from his vintage warbird collection at airshows around the world.",MilitaryPerson
"Asle Jorgenson Gronna (December 10, 1858 – May 4, 1922) was an American Senator from North Dakota, and one of the six to vote against the United States declaration of war leading to the First World War.",OfficeHolder
"Rachel F. Elson is an American journalist and editor-in-chief of Financial Planning Magazine and its associated website Financial-Planning.com. She was previously managing editor at Inc.com and CBS MoneyWatch.com. She is a recipient of the 2009 Gerald Loeb Award for excellence in business journalism. A graduate of the University of Pennsylvania, Elson was previously an editor at MSN Money, the New York Post, and Salon.com. She has been a freelance editor and reporter whose articles have appeared in Time Out New York, The Washington Post, Salon.com, People.com, the New York Post and The San Francisco Examiner.",Journalist
"James Wyatt RA (3 August 1746 – 4 September 1813), was an English architect, a rival of Robert Adam in the neoclassical style and neo-Gothic style.",Architect
"Kassapa III was King of Anuradhapura in the 8th century, whose reign lasted from 732 to 738. He succeeded his brother Aggabodhi V as King of Anuradhapura and was succeeded by his younger brother Mahinda I.",Monarch
"Christopher James \""Chris\"" Christie (born September 6, 1962) is an American attorney, politician and member of the Republican Party who has been the 55th Governor of New Jersey since January 2010. His term ends January 16, 2018. Born in Newark in 1962, Christie volunteered for the gubernatorial campaign of Republican Thomas Kean when he was fifteen years old. A 1984 graduate of the University of Delaware, Christie earned a J.D. at Seton Hall University School of Law. Christie joined a Cranford, New Jersey, law firm in 1987, became a partner in 1993, and continued practicing until 2002. He was elected county freeholder Morris County, serving from 1995 to 1998. By 2002, Christie had campaigned for Presidents George H. W. Bush and George W. Bush; the latter appointed him as United States Attorney for New Jersey, a position he held from 2002 to 2008. In January 2009, Christie declared his candidacy for Governor of New Jersey. He won the Republican primary, and defeated incumbent Governor Jon Corzine in the election that November. In 2013, he won re-election as governor, defeating Democrat Barbara Buono, and was sworn in to a second term on January 21, 2014. On November 21, 2013, Christie was elected Chairman of the Republican Governors Association. Christie was seen as a potential candidate in the 2012 presidential election; although he ultimately did not run, he was on the shortlist to be the running mate of nominee Mitt Romney, and was also the keynote speaker at the 2012 Republican National Convention. On June 30, 2015, Christie announced his candidacy for the Republican nomination in the 2016 presidential election. He suspended his candidacy on February 10, 2016, and later endorsed eventual nominee Donald Trump for president. In May 2016, Trump named Christie to head the transition team preparing for a potential Trump administration.",OfficeHolder
"Rune Elmqvist (1906–1996) developed the first implantable pacemaker in 1958, working under the direction of Åke Senning, senior physician and cardiac surgeon at the Karolinska University Hospital in Solna, Sweden. Elmqvist initially worked as a medical doctor (having trained in Lund), but later worked as an engineer and inventor. In 1948, he developed the first inkjet ECG printer which he called the mingograph while working at Elema-Schönander, a company which later became Siemens-Elema. In 1957, he received an honorary doctorate. In 1960, he became Head of Development at Elema-Schönander. Siemens-Elema's pacemaker operations were sold to the American company Pacesetter Systems in 1994, which was subsequently sold to St Jude Medical.",Engineer
"John Doukas (or Ducas) (Greek: Ιωάννης Δούκας, Iōannēs Doukas) (died c. 1088) was the son of Andronikos Doukas, a Paphlagonian nobleman who may have served as governor of the theme of Moesia, and the younger brother of Emperor Constantine X Doukas. John Doukas was the paternal grandfather of Irene Doukaina, wife of Emperor Alexios I Komnenos.",Monarch
"Shwe Twante Sayadaw, also known as Ven. Ashin Vayama (Burmese:အရွင္ ဝါယမ; born 2 March 1960) is a Burmese Buddhist Monk,ex-political prisoner (Ex-Chairman of 8 Parties :Youth & Student Democracy Forces),Founder of Yaung Ni Thit Sar Pay (YNT Publishing), The Poet of \"" Mother's Poem Mother's Letter\""(Burmese:အေမ့ကဗ်ာအေမ့စာ; 5000 Copies Recorded.., Founder of BOB Thai Microfinance.,Founder of Shwe Twante Social Assistance.., Founder of CS Burma(Catuddisa Sangha) and Founder of Mahachai Meditation Centre..,He was the first monk to work in the United Arab Emirates 2007, and was honored by the State Sangha Mahanayaka, as Master of Buddhism. He was also honored by the YMBA and the London BOC as Buddha Capadesa..,",Religious
Harold Herbert Fuller-Clark (1869 – 27 September 1934) was a British Arts and Crafts architect.,Architect
Mitso Asen (Bulgarian: Мицо Асен) or Micho Asen (Мичо Асен) was the emperor (tsar) of Bulgaria from 1256 until 1257.,Monarch
"(For other people named Frank Kirby, see Frank Kirby (disambiguation).) Group Captain Frank Howard Kirby VC CBE DCM (12 November 1871 – 8 July 1956) was an English recipient of the Victoria Cross, the highest and most prestigious award for gallantry in the face of the enemy that can be awarded to British and Commonwealth forces.",MilitaryPerson
"Cornelio Saavedra Rodríguez (1821 – April 7, 1891) was a Chilean politician and military figure who played a major role in the Occupation of the Araucanía. His parents were Manuel Saavedra Cabrera, son of the president of the First Government of Buenos Aires in 1810 and Argentine general, Cornelio Saavedra, and Josefina Rodriguez Salcedo. He married Dorotea Rivera Serrano, daughter of Chilean General Juan de Dios Rivera and Freire de Andrade and Galeazzo Maria del Rosario Alfaro Serrano. At the age of 15 years he entered the military academy, graduating with the rank of second lieutenant of infantry in the Chilean Army in the following year. In 1837 he was assigned to Battalion Chillán, where he rose to lieutenant at the age of 17 years. In 1847 he was promoted to the rank of sergeant major and retired from active duty for health reasons in 1849. Two years later he was called to participate in the 1851 Revolution to overthrow the newly elected President Manuel Montt and to repeal the 1833 Constitution. In 1857 he was appointed mayor and commander of weapons of Arauco, in whose care had to quell the uprising of the southern provinces during the revolution of 1859. That year he was reinstated to the Army with the rank of sergeant major. Cornelio Saavedra Rodríguez took office as General Commander of the Chilean Navy in 1860, but left the charge the same year. In 1862 he was promoted to lieutenant colonel. Saavedra presented a draft plan to President Manuel Montt to advance Chilean territory to the south of La Frontera (consisting of the Bio Bio River), a plan that was rejected. After the incident involving the Frenchman Orélie-Antoine de Tounens, self-proclaimed King of the Araucania and Patagonia declaring the territories of his \""kingdom\"" under the protection of France, President José Joaquín Pérez Mascayano decided to occupy the area immediately approving Saavedra's plan for the occupation of the Araucanía during its first phase.. He led campaigns culminating in the submission of the Mapuche. The first phase consisted of building forts and small villages along the river Malleco, going into Mapuche territory (including the foundation of the city of Angol in 1862). The second phase (1867–1869) was decisive in advance, but the third phase in 1870 was not as successful and led to further negotiations. After the pacification of Araucanía, he participated in the War of the Pacific. He later retired from military life was made a deputy for San Carlos, Chile (1861–1864), Linares, Chile (1864–1867), Carelmapu (1867–1870), Nacimiento, Chile and Angol (1870–1873) and Minister of War (1879).",MilitaryPerson
"Anastasia Sidiropoulou (Greek:Αναστασία Σιδηροπούλου) (born: October 28, 1992) is a Greek model and beauty pageant titleholder who was crowned Star Hellas 2013 and represented her country at the Miss Universe 2013 pageant.",BeautyQueen
